"","Date2","Av_level","Area"
"391","9/26/2019",NA,NA
"392","9/27/2019",NA,NA
"393","9/28/2019",-10.88899634,NA
"394","9/29/2019",NA,NA
"395","9/30/2019",NA,NA
"396","10/1/2019",NA,2508.601048
"397","10/2/2019",NA,NA
"398","10/3/2019",NA,NA
"399","10/4/2019",NA,NA
"400","10/5/2019",NA,NA
"401","10/6/2019",NA,NA
"402","10/7/2019",NA,NA
"403","10/8/2019",NA,NA
"404","10/9/2019",NA,NA
"405","10/10/2019",NA,NA
"406","10/11/2019",NA,NA
"407","10/12/2019",NA,NA
"408","10/13/2019",NA,NA
"409","10/14/2019",NA,NA
"410","10/15/2019",NA,NA
"411","10/16/2019",NA,NA
"412","10/17/2019",NA,NA
"413","10/18/2019",NA,NA
"414","10/19/2019",NA,NA
"415","10/20/2019",NA,NA
"416","10/21/2019",NA,NA
"417","10/22/2019",NA,NA
"418","10/23/2019",NA,NA
"419","10/24/2019",NA,NA
"420","10/25/2019",NA,NA
"421","10/26/2019",NA,NA
"422","10/27/2019",-9.334154407,NA
"423","10/28/2019",NA,NA
"424","10/29/2019",NA,NA
"425","10/30/2019",NA,NA
"426","10/31/2019",-13.36089424,NA
"427","11/1/2019",NA,2715.205733
"428","11/2/2019",NA,NA
"429","11/3/2019",NA,NA
"430","11/4/2019",NA,NA
"431","11/5/2019",NA,NA
"432","11/6/2019",NA,NA
"433","11/7/2019",NA,NA
"434","11/8/2019",NA,NA
"435","11/9/2019",NA,NA
"436","11/10/2019",NA,NA
"437","11/11/2019",NA,NA
"438","11/12/2019",NA,NA
"439","11/13/2019",NA,NA
"440","11/14/2019",NA,NA
"441","11/15/2019",NA,NA
"442","11/16/2019",NA,NA
"443","11/17/2019",NA,NA
"444","11/18/2019",NA,NA
"445","11/19/2019",NA,NA
"446","11/20/2019",NA,NA
"447","11/21/2019",NA,NA
"448","11/22/2019",NA,NA
"449","11/23/2019",NA,NA
"450","11/24/2019",NA,NA
"451","11/25/2019",NA,NA
"452","11/26/2019",NA,NA
"453","11/27/2019",NA,NA
"454","11/28/2019",-13.5996028,NA
"455","11/29/2019",-13.32706495,NA
"456","11/30/2019",NA,NA
"457","12/1/2019",NA,2334.157314
"458","12/2/2019",NA,NA
"459","12/3/2019",NA,NA
"460","12/4/2019",NA,NA
"461","12/5/2019",NA,NA
"462","12/6/2019",NA,NA
"463","12/7/2019",NA,NA
"464","12/8/2019",NA,NA
"465","12/9/2019",NA,NA
"466","12/10/2019",NA,NA
"467","12/11/2019",NA,NA
"468","12/12/2019",NA,NA
"469","12/13/2019",NA,NA
"470","12/14/2019",NA,NA
"471","12/15/2019",NA,NA
"472","12/16/2019",NA,NA
"473","12/17/2019",NA,NA
"474","12/18/2019",NA,NA
"475","12/19/2019",NA,NA
"476","12/20/2019",NA,NA
"477","12/21/2019",NA,NA
"478","12/22/2019",NA,NA
"479","12/23/2019",NA,NA
"480","12/24/2019",NA,NA
"481","12/25/2019",NA,NA
"482","12/26/2019",NA,NA
"483","12/27/2019",-14.81121456,NA
"484","12/28/2019",-12.89803605,NA
"485","12/29/2019",NA,NA
"486","12/30/2019",NA,NA
"487","12/31/2019",NA,NA
"488","1/1/2020",-17.04112163,2348.783952
"489","1/2/2020",NA,NA
"490","1/3/2020",NA,NA
"491","1/4/2020",NA,NA
"492","1/5/2020",NA,NA
"493","1/6/2020",NA,NA
"494","1/7/2020",NA,NA
"495","1/8/2020",NA,NA
